place_id,name,category,sub_category,latitude,longitude,address,vicinity,rating,review_count,website,phone,price_level,types,is_operational,search_zone,search_keyword,is_open_now,timestamp
ChIJx3YbYwDxaS4RTfRm_lpNrX0,Heirloom Greek Yogurt - Kemang (Ranch Market),Affluence_Proxy,Premium_Supermarket,-6.264253699999999,106.815586,"Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","Ranch Market Kemang, Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, Kota Jakarta Selatan",5.0,1,,,,"point_of_interest, store, food, establishment",True,Fix_Test,Ranch Market,False,2025-08-05T01:44:46.080683
ChIJ44eO6WbxaS4RE1j7jLLIo_s,Vinyard Ranch Market Kemang,Affluence_Proxy,Premium_Supermarket,-6.264244499999999,106.8155793,"Jl. Kemang Raya No.66, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","Ranch Market Kemang, Jl. Kemang Raya No.66, RT.8/RW.2, Bangka, Kota Jakarta Selatan",4.7,23,http://vinyard.com/,0811-8568-877,,"supermarket, point_of_interest, grocery_or_supermarket, store, food, establishment",True,Fix_Test,Ranch Market,False,2025-08-05T01:44:46.616702
ChIJewaZxa7xaS4RBBClcpcbgYo,Ranch Market Kemang,Affluence_Proxy,Premium_Supermarket,-6.264198299999999,106.8159772,"Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, South Jakarta City",4.5,694,https://www.ranchmarket.co.id/,0813-8221-7182,,"supermarket, point_of_interest, grocery_or_supermarket, store, food, establishment",True,Fix_Test,Ranch Market,False,2025-08-05T01:44:45.694509
ChIJ91zqR3HxaS4RHn78X_ccfyI,Ranch Market - Dharmawangsa Square,Affluence_Proxy,Premium_Supermarket,-6.252685,106.8014196,"Jl. Dharmawangsa VI Melawai Kebayoran Baru Jakarta Selatan DKI Jakarta RT.5, 5, RT.5/RW.1, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia","Jl. Dharmawangsa VI Melawai Kebayoran Baru Jakarta Selatan DKI Jakarta RT.5, 5, RT.5/RW.1, Pulo, Kota Jakarta Selatan",4.5,1037,http://www.ranchmarket.co.id/,(021) 72786480,,"supermarket, point_of_interest, grocery_or_supermarket, store, food, establishment",True,Fix_Test,Ranch Market,False,2025-08-05T01:44:45.895868
ChIJITzpQKbxaS4Rty7RuJqLjsk,Yogurt Heavenlyblush ( Ranch Market Pondok Indah ),Affluence_Proxy,Premium_Supermarket,-6.2626973,106.7840553,"Jl. Sultan Iskandar Muda No.21 1, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","Jl. Sultan Iskandar Muda No.21 1, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",4.4,8,http://www.heavenlyblush.com/,(021) 25675903,,"shopping_mall, point_of_interest, grocery_or_supermarket, store, food, establishment",False,Fix_Test,Ranch Market,,2025-08-05T01:44:46.419176
ChIJO1x39abxaS4RvdaxzR-1yrA,Ranch Market Pondok Indah,Affluence_Proxy,Premium_Supermarket,-6.2630364,106.7847026,"RT.1, South Gandaria, Cilandak, South Jakarta City, Jakarta 12310, Indonesia","RT.1, South Gandaria, South Jakarta City",4.3,15,,,,"transit_station, point_of_interest, establishment",True,Fix_Test,Ranch Market,,2025-08-05T01:44:46.256733
ChIJbe0CE17zaS4RAmx0CCIAiFw,Praktik Dokter Hewan Ramzi CA Ragunan dkk,Competitor,Clinic_Only,-6.2858943,106.8301357,"Jl. Raya Ragunan No.19 Lt. 2 & 3, RT.2/RW.7, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia","Jl. Raya Ragunan No.19 Lt. 2 & 3, RT.2/RW.7, Jati Padang, Kota Jakarta Selatan",5.0,28,,0813-1815-3315,,"veterinary_care, point_of_interest, establishment",True,Fix_Test,klinik hewan,False,2025-08-05T01:44:47.861438
ChIJz_yE_ZDzaS4R1P1XVvzQPLI,YOLO VET - Dokter Hewan Kalibata,Competitor,Clinic_Only,-6.261897599999999,106.8303404,"Jl. Kalibata Tengah No.35D, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740, Indonesia","Jl. Kalibata Tengah No.35D, Kalibata, Kota Jakarta Selatan",5.0,89,,0812-9279-0975,,"pet_store, veterinary_care, pharmacy, store, point_of_interest, health, establishment",True,Fix_Test,klinik hewan,False,2025-08-05T01:44:49.063642
ChIJM99JBNbFc0ERQClIl2kwqc0,Rawat Inap Infeksius - Groovy Vetcare Clinic,Competitor,Clinic_Only,-6.2640901,106.7888836,"Ruko Galeri Niaga, No. 9K, Jl. H. Syaip, South Gandaria, Cilandak, South Jakarta City, Jakarta 12420, Indonesia","No. 9K, Ruko Galeri Niaga, Jl. H. Syaip, South Gandaria",5.0,7,http://www.groovyvetcare.com/,(021) 72800617,,"veterinary_care, point_of_interest, establishment",True,Fix_Test,klinik hewan,False,2025-08-05T01:44:50.243012
ChIJja0g2oXxaS4RT0u0qQz7aek,Drh. Siti Zaenab,Competitor,Clinic_Only,-6.2669915,106.8115667,"Jl. Kemang Selatan VIII No.7A, RT.6/RW.7, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410, Indonesia","Jl. Kemang Selatan VIII No.7A, RT.6/RW.7, Cipete Sel., Kota Jakarta Selatan",5.0,8,,(021) 7668241,,"veterinary_care, point_of_interest, establishment",True,Fix_Test,klinik hewan,False,2025-08-05T01:44:50.412430
