place_id,name,category,address
ChIJp90XIBD7aS4RyTHB27P32aw,Green Paw - Klinik Hewan 24 Jam BSD,Competitor,"Ruko Golden Boulevard Blok W1-18, Lengkong Karya, Kota Tangerang Selatan"
ChIJOfWaGECTaS4R5oWMRih4o1M,A2 VET JATISAMPURNA (Praktek Dokter Hewan 24 Jam & Petshop),Competitor,"Jl. Kranggan, RT.003/RW.009, Jatirangga, Kota Bks"
ChIJC5kEmKf2aS4R3ONQcI0bCAk,Pet Vet,Competitor,"10, PET+VET Animal Clinic Indonesia, Jl. K.H. Mas Mansyur No.8A, RT.10/RW.6, Karet Tengsin, Kota Jakarta Pusat"
ChIJP2N-Z6XxaS4RbyBNz2_dHX0,Sehati Animal Care | Praktik dokter hewan 24 Jam | Klinik Hewan 24 jam Jakarta | Grooming Pet Hotel dan Petshop,Competitor,"Jl. Panjang No.1, Cipulir, Kota Jakarta Selatan"
ChIJDdrhsP3taS4R-NFIWPcu_Ko,RN PET CARE (PETSHOP & Praktek Dokter Hewan 24 Jam) Cab. CILANGKAP,Competitor,"Jl. Raya Cilangkap No.140, RT.7/RW.3, Cilangkap, Kota Jakarta Timur"
ChIJ2RQDiIrtaS4RPNecC2hSQ8Y,Praktek Dokter Hewan drh. Wywy GM Silaban (Klinik Hewan & Pet Shop) 24 jam,Competitor,"Jalan Raya Kelapa Dua Wetan , Blok A II/3"
ChIJGdq1n3_raS4REIwsGH-Xa3Y,RN PET CARE (PETSHOP & Praktek Dokter Hewan 24 Jam) Cab. PEKAPURAN,Competitor,"Jl. Pekapuran No.215, RT.3/RW.5, Sukamaju Baru, Kota Depok"
ChIJcz8LNZOUaS4R6SC0RSYXI-c,KLINIK HEWAN Drh Haris (Dokter Haris Pet Care),Competitor,"Ruko, Legenda Wisata, Jl. Acropolis Utara No.2, Cibubur, Kabupaten Bogor"
ChIJs3yRhVvFaS4RE-pRqWoGW0M,Klinik Hewan 24 Jam by Kamo Group,Competitor,"samping Kamo Petshop, Cimanggu, Jl. Raya Taman Cimanggu No.37B, Kota Bogor"
ChIJe6Q8DCweai4RhQoBQN_dPaw,drh. Cucu Kartini S. Joint Veterinary Practice,Competitor,"Ruko, Nirwana Sunter Asri, Jl. Sunter Permai Raya No.2 Tahap 3, RT.2/RW.12, Papanggo, Jkt Utara"
ChIJ96o9v-bGaS4RggMVZNEWbqU,Piet Klinik Hewan 24 Jam,Competitor,"Jl. Raya M.H Tamrin, Plasa Amsterdam Blok C 18 Sentul City, Citaringgul, Babakan Madang, Citaringgul, Kabupaten Bogor"
ChIJqXu6OFXEaS4Ro7mNUdth6F8,Klinik Dokter Hewan Drh 24 Jam Grooming Antar Jemput Satwagia Pet Care Bogor Pet Center,Competitor,"Ruko Lokatmala Jl. Mayjend Ishak Djuarsa No.3, Loji, Kota Bogor"
ChIJB7WYR4WbaS4RFOlBUDOI9Ww,ADIBANI VET CARE (Praktek Dokter Hewan 24 jam),Competitor,"Blok J1 37, Jl. Villa Mutiara Cikarang No.1, Ciantra"
ChIJN0L_SybvaS4RTbfRQ4_ERJU,Klinik Hewan Potaro 24 jam,Competitor,"Jl. Swadaya Ujung depan masjid Nurul Mubin No.4, Tanah Baru, Kota Depok"
ChIJ35W0CZ8dai4RL3lFEMm6oao,Hewania Ultimate Pet Care PIK (24 JAM) | Vet Clinic - Pet Hotel - Pet Salon - Pet Shop,Competitor,"Boulevard Elang Laut, Pantai Indah Kapuk Jl. Pantai Indah Selatan No.21 blok M3 No. 20, Kamal Muara, Jkt Utara"
ChIJ_7r5Bv_taS4Ru9usUG12xYo,Rumah Sakit Hewan Jakarta,Competitor,"Jl. Harsono RM Belakang No.28, RT.9/RW.4, Ragunan, Jakarta"
ChIJUTAma-L1aS4RpmE4p_o6Grs,Klinik Hewan Docmar & Friend,Competitor,"Jl. Tembaga Raya No.34, RT.6/RW.3, Harapan Mulya, Kota Jakarta Pusat"
ChIJnTFvt1ruaS4RuAIGU8LBo0c,Prakter Dokter Hewan Made Widia.A,Competitor,"1, Jl. Cinere Raya No.17, RT.1/RW.8, Cinere, Kota Depok"
ChIJuwQCFMIEFAUR5pqcy8QZHMM,"Klinik Hewan Awal Care (Jatibening, Bekasi)",Competitor,"Komplek Ruko Jatibening Plaza, Jl. Caman Raya Simpang 5 No.117 No. 6-8, RT.007/RW.001, Jatibening, Kota Bks"
ChIJ71mAVFztaS4RtFtN7GIxVxE,Coco Klinik Hewan & Petshop (Dokter Hewan) Cibubur,Competitor,"Arundina, Jl. Masjid No.31B 7, RT.4/RW.4, Cibubur, Kota Jakarta Timur"
ChIJI5H2TGSPaS4RfV0lraq2e58,A2 VET TAMBUN (Praktek Dokter Hewan 24 Jam & Petshop),Competitor,"Jl. Kebon Kelapa, Tambun, Kabupaten Bekasi"
ChIJdZKY0P_xaS4RK3Tgb4x9tps,RN PET CARE (PETSHOP & Praktek Dokter Hewan 24 Jam) Cab. Ceger Tangerang,Competitor,"Jl. Ceger Raya No.21, RT.5/RW.3, Pd. Karya, Kota Tangerang Selatan"
ChIJq55wqkHtaS4ReaK_XDh36wY,Praktek Dokter Hewan Graviol Vet,Competitor,"Jl. Pepaya Raya No.49C, Jagakarsa, Kota Jakarta Selatan"
ChIJVT6nEyaNaS4RdKlnDXnEQ2A,Praktek Drh Rozaliana Rizal,Competitor,"Jl. Duta Indah Raya No.03 H-7, RT.008/RW.015, Jatimakmur, Kota Bks"
ChIJWeiFJQLraS4RzpONbXqM57c,Dokter Hewan & Petshop | Sewaka Petcare,Competitor,"Jl. Pekapuran No.98, Curug, Kota Depok"
ChIJg72eWY_taS4RviKGS0ulf-Y,RN PET CARE (PETSHOP & Praktek Dokter Hewan) Cab. CIMANGGIS,Competitor,"Perum Jl. Lembah Hijau No.B2 2, RT.6/RW.13, Mekarsari, Depok City"
ChIJi3hQ2CntaS4RFxNGPOp3hDk,RN PET CARE (PETSHOP & Praktek Dokter Hewan) Cab. Ciracas,Competitor,"Jl. Raya Pkp, RT.5/RW.12, Klp. Dua Wetan, Kota Jakarta Timur"
ChIJd10EkZP7aS4RYFxivnl_ZUg,Klinik Satwagia Dokter Hewan Grooming & Petshop RND Pondok Aren Tangerang Selatan,Competitor,"Jl. Pd. Jaya No.91, Pd. Jaya, Kota Tangerang Selatan"
ChIJWdPL7B2LaS4RvCmKHwvdzm8,MOMI Pet Care 5 Gading Griya : Petshop Grooming & Dokter Hewan,Competitor,"Jl. Gading Griya Lestari Blok D-1 No.1, Sukapura, Jkt Utara"
ChIJZbKGiNzxaS4RVvASktThpFA,Alit Vet Clinic And Pet Shop,Competitor,"Ruko SOHO 555, Jl. RC. Veteran Raya No.555D, RT.9/RW.3, Bintaro, Kota Jakarta Selatan"
ChIJcckzeQCNaS4R3yuwJa-TRa8,Dua Satu Vet Animal Clinic,Competitor,"Depan Mesjid Jami Al Akhyar, Jl. RA Kartini No.5, RT.006/RW.003, Margahayu, Kota Bks"
ChIJ2wQBJwD7aS4RC-KtWVcz4BU,Pou Vet Clinic,Competitor,"PMF6+W86, Jl. Raya Serpong Kilometer 7, Lengkong Karya, Kota Tangerang Selatan"
ChIJeazY5VkrLYARZYPPycz1SgU,Klinik Hewan 24 Jam! Pou Vet Clinic,Competitor,"Ruko Golden Boulevard, BSD, Blok M-2, Kota Tangerang Selatan"
ChIJrRF0ECDzaS4RMiGQgSALhGY,Amore Kemang,Competitor,"Jl. Pelita raya Jl. Kemang Selatan VIII No.4, JAK-SEL, Kota Jakarta Selatan"
ChIJB-XD0ibyaS4RXDz2fkPAcpM,Animal Clinic Jakarta,Competitor,"Jl. Warung Buncit Raya No.23, RT.2/RW.7, Pejaten Bar., Kota Jakarta Selatan"
ChIJy8NFztqLaS4Rg0oSuwf31io,Animal Clinic THB Vet Bekasi,Competitor,"Jl. Taman Harapan Baru Raya No.A1/43, RT.007/RW.026, Pejuang, Kota Bks"
ChIJNR5uI9XzaS4RaWcKQN7Ve9Y,Smile Animal Clinic & Care,Competitor,"Jl. Duren Tiga Raya No.7b 2, RT.2/RW.6, Duren Tiga, Kota Jakarta Selatan"
ChIJkVqaQSHEaS4RGP9I0Anxw9E,DNA Animal Klinik,Competitor,"Jl. Pandu Raya No.7 Blok B1, RT.07/RW.15, Bantarjati, Kota Bogor"
ChIJRUny-STpaS4RLqMxh7DOmNc,Bimbi Petshop & Animal Clinic,Competitor,"No Jl. Raya Sawangan Depok No.56B, Rangkapan Jaya Baru, Depok City"
ChIJ3TZ-kY_xaS4R9wC-k9bB_-k,MEDIVET Pet Hospital Kebayoran Baru,Competitor,"Jl. Cikajang No.57, RT.5/RW.5, Petogogan, Kota Jakarta Selatan"
